Voo,Origem,Destino,Tipo_Aviao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
1577,OPO,FNC,319,9/2/2009 13:10,9/2/2009 15:10,15,113,15,113
1620,FNC,LIS,320,9/2/2009 13:10,9/2/2009 14:45,0,162,0,149
576,LIS,FRA,319,9/2/2009 13:15,9/2/2009 16:20,15,113,2,97
660,LIS,AMS,320,9/2/2009 13:20,9/2/2009 16:15,14,143,5,128
842,LIS,FCO,319,9/2/2009 13:20,9/2/2009 16:15,15,113,14,113
742,LIS,BCN,319,9/2/2009 13:30,9/2/2009 15:20,15,113,0,82
356,LIS,LHR,321,9/2/2009 13:35,9/2/2009 16:25,14,178,11,158
926,LIS,ZRH,320,9/2/2009 13:40,9/2/2009 16:30,14,143,1,83
804,LIS,MXP,320,9/2/2009 13:50,9/2/2009 16:30,14,143,8,142
1970,LIS,OPO,320,9/2/2009 13:50,9/2/2009 14:45,14,143,10,40
165,LIS,FOR,332,9/2/2009 14:00,9/2/2009 21:30,24,239,6,140
193,LIS,GRU,332,9/2/2009 14:00,9/3/2009 0:20,24,239,20,115
614,LIS,BRU,319,9/2/2009 14:00,9/2/2009 16:45,15,113,1,103
747,BCN,LIS,319,9/2/2009 14:00,9/2/2009 16:00,15,113,0,86
1633,LIS,FNC,319,9/2/2009 14:15,9/2/2009 16:05,15,113,1,103
440,LIS,ORY,321,9/2/2009 14:20,9/2/2009 16:50,14,178,14,181
944,LIS,GVA,320,9/2/2009 14:20,9/2/2009 16:50,14,143,1,86
1913,LIS,FAO,319,9/2/2009 14:50,9/2/2009 15:35,15,113,0,66
153,LIS,REC,332,9/2/2009 15:00,9/2/2009 22:50,24,244,6,89
718,LIS,MAD,319,9/2/2009 15:00,9/2/2009 16:15,15,113,2,70
386,OPO,LHR,320,9/2/2009 15:05,9/2/2009 17:30,14,143,11,143
343,LGW,LIS,320,9/2/2009 15:20,9/2/2009 18:00,14,143,0,77
349,LGW,FNC,319,9/2/2009 15:20,9/2/2009 19:15,15,113,11,99
439,ORY,LIS,319,9/2/2009 15:25,9/2/2009 17:45,15,113,5,53
1626,FNC,LIS,319,9/2/2009 15:25,9/2/2009 17:00,15,113,9,113
1972,LIS,OPO,320,9/2/2009 15:30,9/2/2009 16:25,14,143,5,54
468,OPO,ORY,319,9/2/2009 15:40,9/2/2009 17:50,15,113,15,113
580,LIS,WAW,320,9/2/2009 15:50,9/2/2009 19:45,14,143,1,107
1580,FNC,OPO,319,9/2/2009 15:50,9/2/2009 17:45,15,113,3,112
1826,TER,LIS,320,9/2/2009 15:50,9/2/2009 18:05,14,143,0,69
1975,OPO,LIS,320,9/2/2009 15:55,9/2/2009 16:50,14,143,1,65
743,BCN,LIS,319,9/2/2009 16:05,9/2/2009 18:05,15,113,3,88
752,LIS,BCN,319,9/2/2009 16:05,9/2/2009 17:55,15,113,0,99
1639,LIS,FNC,320,9/2/2009 16:05,9/2/2009 17:55,14,143,1,119
502,LIS,CPH,319,9/2/2009 16:15,9/2/2009 20:00,15,113,2,55
1912,FAO,LIS,319,9/2/2009 16:15,9/2/2009 17:00,15,113,3,111
720,LIS,MAD,319,9/2/2009 16:40,9/2/2009 17:55,15,113,2,47
428,LIS,CDG,319,9/2/2009 16:45,9/2/2009 19:20,15,113,14,110
1632,FNC,LIS,319,9/2/2009 16:45,9/2/2009 18:20,0,132,0,132
661,AMS,LIS,320,9/2/2009 17:00,9/2/2009 20:00,14,143,3,82
719,MAD,LIS,319,9/2/2009 17:00,9/2/2009 18:15,15,113,6,59
843,FCO,LIS,319,9/2/2009 17:00,9/2/2009 20:00,15,113,1,66
1977,OPO,LIS,320,9/2/2009 17:05,9/2/2009 18:00,14,143,4,87
805,MXP,LIS,320,9/2/2009 17:15,9/2/2009 20:00,14,143,1,67
1827,LIS,TER,320,9/2/2009 17:15,9/2/2009 19:55,14,143,1,83
615,BRU,LIS,319,9/2/2009 17:30,9/2/2009 20:10,15,113,1,64
