Voo,Origem,Destino,Configuracao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
1573,OPO,FNC,132,9/4/2009 7:50,9/4/2009 9:50,0,132,0,112
746,LIS,BCN,128,9/4/2009 8:05,9/4/2009 9:55,15,113,10,113
712,LIS,MAD,128,9/4/2009 8:10,9/4/2009 9:20,15,113,5,95
1615,LIS,FNC,132,9/4/2009 8:15,9/4/2009 10:05,0,132,0,129
872,LIS,VCE,128,9/4/2009 8:30,9/4/2009 11:30,15,113,7,112
434,LIS,ORY,128,9/4/2009 8:35,9/4/2009 11:05,15,113,15,112
451,ORY,OPO,128,9/4/2009 8:55,9/4/2009 11:00,15,113,2,52
605,BRU,LIS,128,9/4/2009 9:45,9/4/2009 12:35,15,113,3,111
1614,FNC,LIS,128,9/4/2009 9:55,9/4/2009 11:30,15,113,8,113
665,AMS,LIS,128,9/4/2009 10:30,9/4/2009 13:35,15,113,7,97
1574,FNC,OPO,128,9/4/2009 10:30,9/4/2009 12:25,15,113,6,113
857,BLQ,LIS,128,9/4/2009 10:35,9/4/2009 13:35,15,113,0,95
745,BCN,LIS,128,9/4/2009 10:40,9/4/2009 12:40,15,113,6,112
348,FNC,LGW,128,9/4/2009 10:45,9/4/2009 14:30,15,113,13,106
714,LIS,MAD,128,9/4/2009 10:50,9/4/2009 12:05,15,113,0,75
713,MAD,LIS,128,9/4/2009 11:00,9/4/2009 12:15,15,113,3,107
1963,OPO,LIS,128,9/4/2009 11:40,9/4/2009 12:35,15,113,14,110
435,ORY,LIS,128,9/4/2009 11:50,9/4/2009 14:15,15,113,0,68
438,LIS,ORY,128,9/4/2009 12:15,9/4/2009 14:40,15,113,12,113
873,VCE,LIS,128,9/4/2009 12:15,9/4/2009 15:25,15,113,1,95
715,MAD,LIS,128,9/4/2009 12:50,9/4/2009 14:05,15,113,2,109
1627,LIS,FNC,128,9/4/2009 13:00,9/4/2009 14:45,15,113,2,109
1577,OPO,FNC,128,9/4/2009 13:10,9/4/2009 15:10,15,113,0,97
842,LIS,FCO,128,9/4/2009 13:20,9/4/2009 16:15,15,113,8,112
742,LIS,BCN,128,9/4/2009 13:30,9/4/2009 15:20,15,113,0,97
